"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1255831599685397836","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1207625844330813395","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1255552741825581935","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1255780335090642163","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1255609046779121373","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1202524764167145302","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","49.80","1","null","口味：经典鲜香305g*3【加送2袋发5袋】","null","null","卖家已发货，等待买家确认","null"
="1202504823504670806","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1202502266558370205","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254568896132331866","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","49.80","1","null","口味：经典鲜香305g*3【加送2袋发5袋】","null","null","卖家已发货，等待买家确认","null"
="1254520260213504268","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1208338177725313694","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1255535499550467779","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","54.80","1","null","口味：秘制浓香325g*3【加送2袋发5袋】","null","null","买家已付款，等待卖家发货","null"
="1255239325129274484","小柒馆螺蛳粉305g*8袋礼盒装广西柳州螺狮粉速食米线方便面酸辣粉","129.00","1","null","口味：经典鲜香礼盒【305g*8包】","null","null","卖家已发货，等待买家确认","null"
